Asiakasnro;Y-tunnus;Toimijan nimi1;Toimijan nimi2;TKohdenro;Kohde;Lahiosoite;Postitmp;Toimintaluokka;Toimintaluokan nimi;Toimintatyyppi;Toimintatyypin nimi;Asiakaspaikkojen määrä;Toiminnan aloitus pvm;
12555;2170368-8;Fratello Oy;;19043;Il siciliano;Aleksanterinkatu 36;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;88;;
14773;2547701-6;Oy Nurjahan Enterprises ltd;;23371;Ravintola Aapelin Baari;Ostostie 4;00940 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;210;02.02.2018;
8706;2261514-5;Red Apple Oy;;35067;Restaurant Red Apple;Töölönkatu 27;00260 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;116;;
12576;2463947-4;Don2 Oy;;19075;Muusan Krouvi;Muusantori 5;00350 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;75;;
12611;2208168-1;Viikinkiravintola Harald Oy;;19141;Viikinkiravintola Harald;Aleksanterinkatu 21 (Citykäytävä 2. krs);00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;200;12.03.2012;
12627;2237519-6;Taide ja työravintolat OyTaide ja työravintolat Oy;;19166;Bar Favela;Mechelininkatu 13;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;78;02.05.2012;
4617;0658353-4;Restel Ravintolat Oy;;19185;Hartwall Areena/Niemi Center;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;1150;;
12607;2366710-7;Finn Invest Ky;;19133;Pizzeria Pit Stop;Rödje Fantsintie 2;00890 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;42;07.12.2010;
7966;2228941-5;BW-Restaurants Oy;;19230;Boulevard Social;Bulevardi 6;00120 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;136;14.05.2012;
12659;2465770-1;Tori ja Laki Ch Oy;;19241;Funky Kitchen;Tivolikuja 1;00510 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;260;21.04.2012;
12305;2434390-5;KANARYA OY;Lounaspiste Tattari;18642;Lounaspiste Tattari;Valuraudantie 5;00700 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;52;01.11.2011;
12684;2468735-3;Daveser Avoin yhtiö;;19280;PizzaTaxi Herttoniemi;Kaivolahdenkatu 4;00810 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;28;01.05.2012;
11655;2349717-9;GOLDEN COIN OY;;17774;Bar Bronco;Hämeentie 23;00500 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;64;01.08.2011;
